sample_accession,sample_name,assembler,assembly_type,assembly_accession,FASTA
ERS3190350,10677_0046,IDBA-UD,single sample,ERZ920244,ftp.sra.ebi.ac.uk/vol1/ERZ920/ERZ920244/10677_0046_idba.fa.gz
ERS3190335,10677_0053,IDBA-UD,single sample,ERZ920246,ftp.sra.ebi.ac.uk/vol1/ERZ920/ERZ920246/10677_0053_idba.fa.gz
ERS3190342,10677_0038,IDBA-UD,single sample,ERZ920283,ftp.sra.ebi.ac.uk/vol1/ERZ920/ERZ920283/10677_0038_idba.fa.gz
ERS3190311,10677_0007,IDBA-UD,single sample,ERZ920284,ftp.sra.ebi.ac.uk/vol1/ERZ920/ERZ920284/10677_0007_idba.fa.gz
ERS3190326,10677_0022,IDBA-UD,single sample,ERZ920285,ftp.sra.ebi.ac.uk/vol1/ERZ920/ERZ920285/10677_0022_idba.fa.gz
ERS3190305,10677_0001,IDBA-UD,single sample,ERZ920286,ftp.sra.ebi.ac.uk/vol1/ERZ920/ERZ920286/10677_0001_idba.fa.gz
ERS3190346,10677_0042,IDBA-UD,single sample,ERZ920287,ftp.sra.ebi.ac.uk/vol1/ERZ920/ERZ920287/10677_0042_idba.fa.gz
ERS3190329,10677_0025,IDBA-UD,single sample,ERZ920288,ftp.sra.ebi.ac.uk/vol1/ERZ920/ERZ920288/10677_0025_idba.fa.gz
ERS3190370,10678_0051,IDBA-UD,single sample,ERZ920291,ftp.sra.ebi.ac.uk/vol1/ERZ920/ERZ920291/10678_0051_idba.fa.gz
ERS3190347,10677_0043,IDBA-UD,single sample,ERZ920292,ftp.sra.ebi.ac.uk/vol1/ERZ920/ERZ920292/10677_0043_idba.fa.gz
ERS3190397,10678_0045,IDBA-UD,single sample,ERZ920293,ftp.sra.ebi.ac.uk/vol1/ERZ920/ERZ920293/10678_0045_idba.fa.gz
ERS1812984,2013E Charolais High Concentration Diet Low Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922462,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922462/10572_0007_idba.fa.gz
ERS1812983,2013E Luing High Concentration Diet Low Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922463,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922463/10572_0006_idba.fa.gz
ERS1812985,2013E Charolais High Concentration Diet Low Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922464,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922464/10572_0008_idba.fa.gz
ERS1812982,2013E Charolais Medium Concentration Diet High Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922465,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922465/10572_0005_idba.fa.gz
ERS1812981,2013E Charolais Medium Concentration Diet High Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922466,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922466/10572_0003_idba.fa.gz
ERS1812989,2013E Charolais High Concentration Diet Low Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922467,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922467/10572_0012_idba.fa.gz
ERS1812980,2013E Luing Medium Concentration Diet Low Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922469,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922469/10572_0002_idba.fa.gz
ERS1812979,2013E Luing Medium Concentration Diet Low Emitter High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922470,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922470/10572_0001_idba.fa.gz
ERS1812993,2013E Luing Medium Concentration Diet High Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922471,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922471/10572_0016_idba.fa.gz
ERS1812990,2013E Charolais High Concentration Diet Low Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922472,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922472/10572_0013_idba.fa.gz
ERS1812991,2013E Luing High Concentration Diet Low Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922473,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922473/10572_0014_idba.fa.gz
ERS1812988,2013E Charolais Medium Concentration Diet High Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922474,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922474/10572_0011_idba.fa.gz
ERS1812996,2013E Charolais High Concentration Diet Low Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922475,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922475/10572_0019_idba.fa.gz
ERS1812994,2013E Charolais Medium Concentration Diet High Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922476,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922476/10572_0017_idba.fa.gz
ERS1812997,2013E Charolais High Concentration Diet Low Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922477,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922477/10572_0020_idba.fa.gz
ERS1812987,2013E Luing Medium Concentration Diet High Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922478,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922478/10572_0010_idba.fa.gz
ERS1812986,2013E Luing High Concentration Diet Low Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922479,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922479/10572_0009_idba.fa.gz
ERS1812999,2013E Charolais Medium Concentration Diet High Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922480,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922480/10572_0022_idba.fa.gz
ERS1812995,2013E Luing High Concentration Diet Low Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922481,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922481/10572_0018_idba.fa.gz
ERS1812992,2013E Luing High Concentration Diet Low Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922482,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922482/10572_0015_idba.fa.gz
ERS1813000,2013E Charolais Medium Concentration Diet High Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922484,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922484/10572_0023_idba.fa.gz
ERS1813005,2014E Limousin Medium Concentration Diet High Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922485,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922485/10572_0028_idba.fa.gz
ERS1813003,2014E Limousin Medium Concentration Diet High Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922486,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922486/10572_0026_idba.fa.gz
ERS1813001,2013E Luing Medium Concentration Diet High Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922487,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922487/10572_0024_idba.fa.gz
ERS1812998,2013E Luing High Concentration Diet Low Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922488,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922488/10572_0021_idba.fa.gz
ERS1813008,2014E Limousin Medium Concentration Diet High Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922489,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922489/10572_0031_idba.fa.gz
ERS1813002,2014E Luing Medium Concentration Diet Low Emitter High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922490,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922490/10572_0025_idba.fa.gz
ERS1813004,2014E Limousin Medium Concentration Diet High Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922491,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922491/10572_0027_idba.fa.gz
ERS1813015,2014E Limousin Medium Concentration Diet High Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922492,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922492/10572_0038_idba.fa.gz
ERS1813020,2013E Limousin Medium Concentration Diet High Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922493,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922493/10572_0043_idba.fa.gz
ERS1813006,2014E Aberdeen Angus Medium Concentration Diet High Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922494,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922494/10572_0029_idba.fa.gz
ERS1813007,2014E Aberdeen Angus Medium Concentration Diet High Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922495,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922495/10572_0030_idba.fa.gz
