sample_accession,sample_name,assembler,assembly_type,assembly_accession,FASTA
ERS3190197,10674_0037,IDBA-UD,single sample,ERZ913595,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913595/10674_0037_idba.fa.gz
ERS3190191,10674_0031,IDBA-UD,single sample,ERZ913596,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913596/10674_0031_idba.fa.gz
ERS3190200,10674_0040,IDBA-UD,single sample,ERZ913597,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913597/10674_0040_idba.fa.gz
ERS3190172,10674_0012,IDBA-UD,single sample,ERZ913599,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913599/10674_0012_idba.fa.gz
ERS3190192,10674_0032,IDBA-UD,single sample,ERZ913600,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913600/10674_0032_idba.fa.gz
ERS3190199,10674_0039,IDBA-UD,single sample,ERZ913601,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913601/10674_0039_idba.fa.gz
ERS3190198,10674_0038,IDBA-UD,single sample,ERZ913602,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913602/10674_0038_idba.fa.gz
ERS3190189,10674_0029,IDBA-UD,single sample,ERZ913603,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913603/10674_0029_idba.fa.gz
ERS3190162,10674_0002,IDBA-UD,single sample,ERZ913604,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913604/10674_0002_idba.fa.gz
ERS3190196,10674_0036,IDBA-UD,single sample,ERZ913605,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913605/10674_0036_idba.fa.gz
ERS3190187,10674_0027,IDBA-UD,single sample,ERZ913606,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913606/10674_0027_idba.fa.gz
ERS3190201,10674_0041,IDBA-UD,single sample,ERZ913607,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913607/10674_0041_idba.fa.gz
ERS3190202,10674_0042,IDBA-UD,single sample,ERZ913608,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913608/10674_0042_idba.fa.gz
ERS3190170,10674_0010,IDBA-UD,single sample,ERZ913609,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913609/10674_0010_idba.fa.gz
ERS3190164,10674_0004,IDBA-UD,single sample,ERZ913610,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913610/10674_0004_idba.fa.gz
ERS3190193,10674_0033,IDBA-UD,single sample,ERZ913611,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913611/10674_0033_idba.fa.gz
ERS3190186,10674_0026,IDBA-UD,single sample,ERZ913613,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913613/10674_0026_idba.fa.gz
ERS3190194,10674_0034,IDBA-UD,single sample,ERZ913614,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913614/10674_0034_idba.fa.gz
ERS3190204,10674_0044,IDBA-UD,single sample,ERZ913615,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913615/10674_0044_idba.fa.gz
ERS3190208,10674_0048,IDBA-UD,single sample,ERZ913616,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913616/10674_0048_idba.fa.gz
ERS3190180,10674_0020,IDBA-UD,single sample,ERZ913617,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913617/10674_0020_idba.fa.gz
ERS3190205,10674_0045,IDBA-UD,single sample,ERZ913618,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913618/10674_0045_idba.fa.gz
ERS3190203,10674_0043,IDBA-UD,single sample,ERZ913619,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913619/10674_0043_idba.fa.gz
ERS3190171,10674_0011,IDBA-UD,single sample,ERZ913620,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913620/10674_0011_idba.fa.gz
ERS3190206,10674_0046,IDBA-UD,single sample,ERZ913621,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913621/10674_0046_idba.fa.gz
ERS3190181,10674_0021,IDBA-UD,single sample,ERZ913622,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913622/10674_0021_idba.fa.gz
ERS3190173,10674_0013,IDBA-UD,single sample,ERZ913623,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913623/10674_0013_idba.fa.gz
ERS3190166,10674_0006,IDBA-UD,single sample,ERZ913624,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913624/10674_0006_idba.fa.gz
ERS3190177,10674_0017,IDBA-UD,single sample,ERZ913626,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913626/10674_0017_idba.fa.gz
ERS3190184,10674_0024,IDBA-UD,single sample,ERZ913627,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913627/10674_0024_idba.fa.gz
ERS3190163,10674_0003,IDBA-UD,single sample,ERZ913628,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913628/10674_0003_idba.fa.gz
ERS3190161,10674_0001,IDBA-UD,single sample,ERZ913629,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913629/10674_0001_idba.fa.gz
ERS3190167,10674_0007,IDBA-UD,single sample,ERZ913630,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913630/10674_0007_idba.fa.gz
ERS3190169,10674_0009,IDBA-UD,single sample,ERZ913631,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913631/10674_0009_idba.fa.gz
ERS3190175,10674_0015,IDBA-UD,single sample,ERZ913632,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913632/10674_0015_idba.fa.gz
ERS3190182,10674_0022,IDBA-UD,single sample,ERZ913633,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913633/10674_0022_idba.fa.gz
ERS3190165,10674_0005,IDBA-UD,single sample,ERZ913634,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913634/10674_0005_idba.fa.gz
ERS3190168,10674_0008,IDBA-UD,single sample,ERZ913637,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913637/10674_0008_idba.fa.gz
ERS3190174,10674_0014,IDBA-UD,single sample,ERZ913640,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913640/10674_0014_idba.fa.gz
ERS3190183,10674_0023,IDBA-UD,single sample,ERZ913641,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913641/10674_0023_idba.fa.gz
ERS3190185,10674_0025,IDBA-UD,single sample,ERZ914788,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914788/10674_0025_idba.fa.gz
ERS3190190,10674_0030,IDBA-UD,single sample,ERZ914789,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914789/10674_0030_idba.fa.gz
ERS3190176,10674_0016,IDBA-UD,single sample,ERZ914790,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914790/10674_0016_idba.fa.gz
ERS3190195,10674_0035,IDBA-UD,single sample,ERZ914791,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914791/10674_0035_idba.fa.gz
ERS3190179,10674_0019,IDBA-UD,single sample,ERZ914792,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914792/10674_0019_idba.fa.gz
ERS3190178,10674_0018,IDBA-UD,single sample,ERZ914793,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914793/10674_0018_idba.fa.gz
ERS3190207,10674_0047,IDBA-UD,single sample,ERZ914794,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914794/10674_0047_idba.fa.gz
ERS3190209,10675_0001,IDBA-UD,single sample,ERZ914820,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914820/10675_0001_idba.fa.gz
ERS3190214,10675_0006,IDBA-UD,single sample,ERZ914821,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914821/10675_0006_idba.fa.gz
ERS3190226,10675_0018,IDBA-UD,single sample,ERZ914822,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914822/10675_0018_idba.fa.gz
ERS3190215,10675_0007,IDBA-UD,single sample,ERZ914823,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914823/10675_0007_idba.fa.gz
ERS3190212,10675_0004,IDBA-UD,single sample,ERZ914824,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914824/10675_0004_idba.fa.gz
ERS3190213,10675_0005,IDBA-UD,single sample,ERZ914825,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914825/10675_0005_idba.fa.gz
ERS3190223,10675_0015,IDBA-UD,single sample,ERZ914826,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914826/10675_0015_idba.fa.gz
ERS3190222,10675_0014,IDBA-UD,single sample,ERZ914827,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914827/10675_0014_idba.fa.gz
ERS3190217,10675_0009,IDBA-UD,single sample,ERZ914828,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914828/10675_0009_idba.fa.gz
ERS3190218,10675_0010,IDBA-UD,single sample,ERZ914830,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914830/10675_0010_idba.fa.gz
ERS3190210,10675_0002,IDBA-UD,single sample,ERZ914831,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914831/10675_0002_idba.fa.gz
ERS3190225,10675_0017,IDBA-UD,single sample,ERZ914832,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914832/10675_0017_idba.fa.gz
ERS3190221,10675_0013,IDBA-UD,single sample,ERZ914833,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914833/10675_0013_idba.fa.gz
ERS3190220,10675_0012,IDBA-UD,single sample,ERZ914834,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914834/10675_0012_idba.fa.gz
ERS3190224,10675_0016,IDBA-UD,single sample,ERZ914835,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914835/10675_0016_idba.fa.gz
ERS3190211,10675_0003,IDBA-UD,single sample,ERZ914836,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914836/10675_0003_idba.fa.gz
ERS3190227,10675_0019,IDBA-UD,single sample,ERZ914837,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914837/10675_0019_idba.fa.gz
ERS3190228,10675_0020,IDBA-UD,single sample,ERZ914838,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914838/10675_0020_idba.fa.gz
ERS3190229,10675_0021,IDBA-UD,single sample,ERZ914839,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914839/10675_0021_idba.fa.gz
ERS3190231,10675_0023,IDBA-UD,single sample,ERZ914841,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914841/10675_0023_idba.fa.gz
ERS3190235,10675_0027,IDBA-UD,single sample,ERZ914842,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914842/10675_0027_idba.fa.gz
ERS3190250,10675_0042,IDBA-UD,single sample,ERZ914843,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914843/10675_0042_idba.fa.gz
ERS3190230,10675_0022,IDBA-UD,single sample,ERZ914844,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914844/10675_0022_idba.fa.gz
ERS3190243,10675_0035,IDBA-UD,single sample,ERZ914845,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914845/10675_0035_idba.fa.gz
ERS3190240,10675_0032,IDBA-UD,single sample,ERZ914846,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914846/10675_0032_idba.fa.gz
ERS3190247,10675_0039,IDBA-UD,single sample,ERZ914847,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914847/10675_0039_idba.fa.gz
ERS3190245,10675_0037,IDBA-UD,single sample,ERZ914848,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914848/10675_0037_idba.fa.gz
ERS3190238,10675_0030,IDBA-UD,single sample,ERZ914850,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914850/10675_0030_idba.fa.gz
ERS3190241,10675_0033,IDBA-UD,single sample,ERZ914851,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914851/10675_0033_idba.fa.gz
ERS3190236,10675_0028,IDBA-UD,single sample,ERZ914852,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914852/10675_0028_idba.fa.gz
ERS3190252,10675_0044,IDBA-UD,single sample,ERZ914853,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914853/10675_0044_idba.fa.gz
ERS3190253,10675_0045,IDBA-UD,single sample,ERZ914854,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914854/10675_0045_idba.fa.gz
ERS3190249,10675_0041,IDBA-UD,single sample,ERZ914855,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914855/10675_0041_idba.fa.gz
ERS3190254,10675_0046,IDBA-UD,single sample,ERZ914856,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914856/10675_0046_idba.fa.gz
ERS3190251,10675_0043,IDBA-UD,single sample,ERZ914857,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914857/10675_0043_idba.fa.gz
ERS3190256,10675_0048,IDBA-UD,single sample,ERZ914859,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914859/10675_0048_idba.fa.gz
ERS3190255,10675_0047,IDBA-UD,single sample,ERZ914860,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914860/10675_0047_idba.fa.gz
ERS3190248,10675_0049,IDBA-UD,single sample,ERZ914861,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914861/10675_0049_idba.fa.gz
ERS3190233,10675_0025,IDBA-UD,single sample,ERZ914863,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914863/10675_0025_idba.fa.gz
ERS3190234,10675_0026,IDBA-UD,single sample,ERZ914867,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914867/10675_0026_idba.fa.gz
ERS3190246,10675_0038,IDBA-UD,single sample,ERZ914900,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914900/10675_0038_idba.fa.gz
ERS3190237,10675_0029,IDBA-UD,single sample,ERZ914901,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914901/10675_0029_idba.fa.gz
ERS3190216,10675_0008,IDBA-UD,single sample,ERZ914902,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914902/10675_0008_idba.fa.gz
ERS3190242,10675_0034,IDBA-UD,single sample,ERZ914903,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914903/10675_0034_idba.fa.gz
ERS3190219,10675_0011,IDBA-UD,single sample,ERZ914904,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914904/10675_0011_idba.fa.gz
ERS3190244,10675_0036,IDBA-UD,single sample,ERZ914905,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914905/10675_0036_idba.fa.gz
ERS3190232,10675_0024,IDBA-UD,single sample,ERZ914908,ftp.sra.ebi.ac.uk/vol1/ERZ914/ERZ914908/10675_0024_idba.fa.gz
ERS3190239,10675_0031,IDBA-UD,single sample,ERZ915375,ftp.sra.ebi.ac.uk/vol1/ERZ915/ERZ915375/10675_0031_idba.fa.gz
ERS3190261,10676_0005,IDBA-UD,single sample,ERZ919111,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919111/10676_0005_idba.fa.gz
ERS3190275,10676_0019,IDBA-UD,single sample,ERZ919112,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919112/10676_0019_idba.fa.gz
ERS3190294,10676_0038,IDBA-UD,single sample,ERZ919113,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919113/10676_0038_idba.fa.gz
ERS3190269,10676_0013,IDBA-UD,single sample,ERZ919114,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919114/10676_0013_idba.fa.gz
ERS3190296,10676_0040,IDBA-UD,single sample,ERZ919115,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919115/10676_0040_idba.fa.gz
ERS3190301,10676_0045,IDBA-UD,single sample,ERZ919118,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919118/10676_0045_idba.fa.gz
ERS3190272,10676_0016,IDBA-UD,single sample,ERZ919250,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919250/10676_0016_idba.fa.gz
ERS3190317,10677_0049,IDBA-UD,single sample,ERZ919287,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919287/10677_0049_idba.fa.gz
ERS3190316,10677_0012,IDBA-UD,single sample,ERZ919288,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919288/10677_0012_idba.fa.gz
ERS3190337,10677_0033,IDBA-UD,single sample,ERZ919289,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919289/10677_0033_idba.fa.gz
ERS3190344,10677_0040,IDBA-UD,single sample,ERZ919290,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919290/10677_0040_idba.fa.gz
ERS3190325,10677_0021,IDBA-UD,single sample,ERZ919291,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919291/10677_0021_idba.fa.gz
ERS3190339,10677_0035,IDBA-UD,single sample,ERZ919293,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919293/10677_0035_idba.fa.gz
ERS3190313,10677_0009,IDBA-UD,single sample,ERZ919294,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919294/10677_0009_idba.fa.gz
ERS3190338,10677_0034,IDBA-UD,single sample,ERZ919295,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919295/10677_0034_idba.fa.gz
ERS3190327,10677_0023,IDBA-UD,single sample,ERZ919296,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919296/10677_0023_idba.fa.gz
ERS3190351,10677_0047,IDBA-UD,single sample,ERZ919298,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919298/10677_0047_idba.fa.gz
ERS3190319,10677_0015,IDBA-UD,single sample,ERZ919299,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919299/10677_0015_idba.fa.gz
ERS3190333,10677_0029,IDBA-UD,single sample,ERZ919301,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919301/10677_0029_idba.fa.gz
ERS3190318,10677_0014,IDBA-UD,single sample,ERZ919302,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919302/10677_0014_idba.fa.gz
ERS3190315,10677_0011,IDBA-UD,single sample,ERZ919304,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919304/10677_0011_idba.fa.gz
ERS3190328,10677_0051,IDBA-UD,single sample,ERZ919305,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919305/10677_0051_idba.fa.gz
ERS3190324,10677_0050,IDBA-UD,single sample,ERZ919306,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919306/10677_0050_idba.fa.gz
ERS3190352,10677_0048,IDBA-UD,single sample,ERZ919307,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919307/10677_0048_idba.fa.gz
ERS3190363,10678_0011,IDBA-UD,single sample,ERZ919308,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919308/10678_0011_idba.fa.gz
ERS3190353,10678_0001,IDBA-UD,single sample,ERZ919309,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919309/10678_0001_idba.fa.gz
ERS3190341,10677_0056,IDBA-UD,single sample,ERZ919311,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919311/10677_0056_idba.fa.gz
ERS3190312,10677_0008,IDBA-UD,single sample,ERZ919312,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919312/10677_0008_idba.fa.gz
ERS3190361,10678_0009,IDBA-UD,single sample,ERZ919313,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919313/10678_0009_idba.fa.gz
ERS3190354,10678_0002,IDBA-UD,single sample,ERZ919314,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919314/10678_0002_idba.fa.gz
ERS3190359,10678_0007,IDBA-UD,single sample,ERZ919315,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919315/10678_0007_idba.fa.gz
ERS3190364,10678_0012,IDBA-UD,single sample,ERZ919316,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919316/10678_0012_idba.fa.gz
ERS3190340,10677_0055,IDBA-UD,single sample,ERZ919317,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919317/10677_0055_idba.fa.gz
ERS3190355,10678_0003,IDBA-UD,single sample,ERZ919318,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919318/10678_0003_idba.fa.gz
ERS3190343,10677_0057,IDBA-UD,single sample,ERZ919319,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919319/10677_0057_idba.fa.gz
ERS3190356,10678_0004,IDBA-UD,single sample,ERZ919320,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919320/10678_0004_idba.fa.gz
ERS3190336,10677_0054,IDBA-UD,single sample,ERZ919322,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919322/10677_0054_idba.fa.gz
ERS3190376,10678_0024,IDBA-UD,single sample,ERZ919323,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919323/10678_0024_idba.fa.gz
ERS3190373,10678_0021,IDBA-UD,single sample,ERZ919324,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919324/10678_0021_idba.fa.gz
ERS3190330,10677_0052,IDBA-UD,single sample,ERZ919325,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919325/10677_0052_idba.fa.gz
ERS3190377,10678_0025,IDBA-UD,single sample,ERZ919326,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919326/10678_0025_idba.fa.gz
ERS3190365,10678_0013,IDBA-UD,single sample,ERZ919327,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919327/10678_0013_idba.fa.gz
ERS3190374,10678_0022,IDBA-UD,single sample,ERZ919328,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919328/10678_0022_idba.fa.gz
ERS3190331,10677_0027,IDBA-UD,single sample,ERZ919330,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919330/10677_0027_idba.fa.gz
ERS3190372,10678_0020,IDBA-UD,single sample,ERZ919331,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919331/10678_0020_idba.fa.gz
ERS3190334,10677_0030,IDBA-UD,single sample,ERZ919332,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919332/10677_0030_idba.fa.gz
ERS3190368,10678_0016,IDBA-UD,single sample,ERZ919333,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919333/10678_0016_idba.fa.gz
ERS3190375,10678_0023,IDBA-UD,single sample,ERZ919334,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919334/10678_0023_idba.fa.gz
ERS3190380,10678_0028,IDBA-UD,single sample,ERZ919335,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919335/10678_0028_idba.fa.gz
ERS3190394,10678_0042,IDBA-UD,single sample,ERZ919336,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919336/10678_0042_idba.fa.gz
ERS3190388,10678_0036,IDBA-UD,single sample,ERZ919338,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919338/10678_0036_idba.fa.gz
ERS3190386,10678_0034,IDBA-UD,single sample,ERZ919339,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919339/10678_0034_idba.fa.gz
ERS3190366,10678_0049,IDBA-UD,single sample,ERZ919340,ftp.sra.ebi.ac.uk/vol1/ERZ919/ERZ919340/10678_0049_idba.fa.gz
